host;ip;port;lastseen;delay;cid;country_code;country_name;city;checks_up;checks_down;anon;http;ssl;socks4;socks5
109.199.77.83;109.199.77.83;41138;4018;5100;3088171;PL;Poland;Poznan;84;236;4;1;0;0;0
190.147.93.2;190.147.93.2;32014;4022;1480;3688689;CO;Colombia;Bogotá;67;137;4;1;0;0;0
187.85.84.202;187.85.84.202;3629;4024;2920;3470858;BR;Brazil;Barbacena;2803;385;4;0;0;1;0
1.0.0.79;1.0.0.79;80;4025;240;2061039;AU;Australia;Stirling;970;0;1;1;0;0;0
160.119.128.66;160.119.128.66;8080;4027;820;2420477;GN;Guinea;;52;214;1;1;0;0;0
181.191.106.125;181.191.106.125;32571;4032;1980;3395981;BR;Brazil;Maceió;934;460;4;0;0;1;0
202.79.46.164;202.79.46.164;38063;4033;1080;1282988;NP;Nepal;;572;127;4;0;0;1;0
190.152.19.190;190.152.19.190;43023;4034;4240;3660689;EC;Ecuador;Ambato;269;92;4;0;0;1;0
185.188.218.10;185.188.218.10;60928;4037;5100;783754;AL;Albania;;2398;1173;4;1;0;0;0
41.204.87.90;41.204.87.90;8080;4039;4520;2233387;CM;Cameroon;;1707;898;1;1;0;0;0
89.23.194.174;89.23.194.174;8080;4040;5100;547560;RU;Russian Federation;Klimovsk;7430;3356;4;1;0;0;0
189.20.22.18;189.20.22.18;39370;4040;2420;3469034;BR;Brazil;;1128;137;4;0;0;1;0
79.175.57.77;79.175.57.77;55477;4044;3000;578072;RU;Russian Federation;Belgorod;5635;1880;4;1;0;0;0
190.152.19.54;190.152.19.54;38791;4044;4060;3657506;EC;Ecuador;Guayas;67;171;4;1;0;0;0
113.74.26.114;113.74.26.114;4145;4048;3340;1790437;CN;China;Zhuhai;38;49;4;0;0;1;0
189.91.84.25;189.91.84.25;43907;4049;4200;3451190;BR;Brazil;"""Rio de Janeiro""";138;60;4;0;0;1;0
45.64.139.126;45.64.139.126;59329;4050;5100;1185241;BD;Bangladesh;Dhaka;3685;330;4;0;0;1;0
103.239.252.234;103.239.252.234;4145;4051;4700;1185241;BD;Bangladesh;Dhaka;2860;364;4;0;0;1;0
82.131.178.19;82.131.178.19;58261;4053;3280;3051632;HU;Hungary;Nagyvenyim;4594;344;4;0;0;1;0
188.124.93.166;188.124.93.166;4145;4053;3420;731549;BG;Bulgaria;Gabrovo;2294;512;4;0;0;1;0
79.106.115.105;79.106.115.105;4145;4054;3660;363243;AL;Albania;Sarandë;2909;432;4;0;0;1;0
95.0.37.74;95.0.37.74;4145;4054;1640;323786;TR;Turkey;Ankara;1623;746;4;0;0;1;0
183.87.69.233;183.87.69.233;36185;4056;1920;1258338;IN;India;Ratnagiri;3236;346;4;0;0;1;0
109.92.202.222;109.92.202.222;57595;4057;440;3204692;RS;Serbia;Bac;509;24;4;0;0;1;0
190.109.165.66;190.109.165.66;8291;4057;1280;3674453;CO;Colombia;Montería;406;26;4;0;0;1;0
170.81.93.44;170.81.93.44;1080;4058;1440;3457147;BR;Brazil;Mineiros;1003;101;4;0;0;1;0
118.173.232.184;118.173.232.184;1080;4059;1160;1609350;TH;Thailand;Bangkok;1251;315;4;0;0;1;0
109.87.122.206;109.87.122.206;3629;4063;160;706483;UA;Ukraine;Kharkiv;1167;424;4;0;0;1;0
1.0.0.75;1.0.0.75;80;4068;260;2061039;AU;Australia;Stirling;999;0;1;1;0;0;0
1.0.0.163;1.0.0.163;80;4092;240;8349238;AU;Australia;"""Parafield Gardens""";2023;0;1;1;0;0;0
124.41.240.199;124.41.240.199;8080;4095;5100;1282988;NP;Nepal;;29;19;1;1;0;0;0
5.149.205.141;5.149.205.141;8080;4097;3600;526346;RU;Russian Federation;Mirnyy;1349;1138;1;1;0;0;0
197.210.124.1;197.210.124.1;80;4097;2820;2343279;NG;Nigeria;Enugu;57;215;1;1;0;0;0
103.252.13.153;103.252.13.153;4145;4112;4400;1643084;ID;Indonesia;;2328;510;4;0;0;1;0
41.76.242.186;41.76.242.186;44503;4114;1480;933773;BW;Botswana;Gaborone;1807;271;4;0;0;1;0
185.25.48.215;185.25.48.215;37229;4115;1160;598257;LT;Lithuania;"""Kelmė""";8980;120;4;0;0;1;0
118.173.233.31;118.173.233.31;59669;4116;2600;1609350;TH;Thailand;Bangkok;688;931;4;1;0;0;0
187.191.20.11;187.191.20.11;54375;4117;3220;3523349;MX;Mexico;Mérida;19;136;4;1;0;0;0
